time,symbol,fundingRate,exchange
2023-02-23 00:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-23 00:00:00.006,SOLUSDT,0.0001,Binance
2023-02-23 08:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-23 08:00:00.005,SOLUSDT,0.0001,Binance
2023-02-23 16:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-23 16:00:00.002,SOLUSDT,0.0001,Binance
2023-02-24 00:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-24 00:00:00.015,SOLUSDT,0.0001,Binance
2023-02-24 08:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-24 08:00:00.011,SOLUSDT,0.0001,Binance
2023-02-24 16:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-24 16:00:00.014,SOLUSDT,0.0001,Binance
2023-02-25 00:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-25 00:00:00.015,SOLUSDT,-3.219e-05,Binance
2023-02-25 08:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-25 08:00:00.015,SOLUSDT,0.0001,Binance
2023-02-25 16:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-25 16:00:00.015,SOLUSDT,0.0001,Binance
2023-02-26 00:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-26 00:00:00.007,SOLUSDT,-4.144e-05,Binance
2023-02-26 08:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-26 08:00:00.012,SOLUSDT,-7.838e-05,Binance
2023-02-26 16:00:00.000,SOLUSDT,-1.898e-05,Binance
2023-02-26 16:00:00.000,SOLUSDT,2.038e-05,Bybit
2023-02-27 00:00:00.000,SOLUSDT,-9.64e-06,Bybit
2023-02-27 00:00:00.011,SOLUSDT,5.327e-05,Binance
2023-02-27 08:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-27 08:00:00.003,SOLUSDT,0.0001,Binance
2023-02-27 16:00:00.000,SOLUSDT,8.837e-05,Binance
2023-02-27 16:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-28 00:00:00.000,SOLUSDT,5.784e-05,Bybit
2023-02-28 00:00:00.011,SOLUSDT,5.76e-05,Binance
2023-02-28 08:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-28 08:00:00.018,SOLUSDT,0.0001,Binance
2023-02-28 16:00:00.000,SOLUSDT,0.0001,Bybit
2023-02-28 16:00:00.005,SOLUSDT,8.349e-05,Binance
2023-03-01 00:00:00.000,SOLUSDT,0.0001,Bybit
2023-03-01 00:00:00.016,SOLUSDT,5.877e-05,Binance
2023-03-01 08:00:00.000,SOLUSDT,0.0001,Bybit
2023-03-01 08:00:00.000,SOLUSDT,0.0001,Binance
2023-03-01 16:00:00.000,SOLUSDT,0.0001,Bybit
2023-03-01 16:00:00.008,SOLUSDT,0.0001,Binance
2023-03-02 00:00:00.000,SOLUSDT,0.0001,Bybit
2023-03-02 00:00:00.009,SOLUSDT,0.0001,Binance
2023-03-02 08:00:00.000,SOLUSDT,0.0001,Bybit
2023-03-02 08:00:00.013,SOLUSDT,0.0001,Binance
2023-03-02 16:00:00.000,SOLUSDT,-8.101e-05,Binance
2023-03-02 16:00:00.000,SOLUSDT,0.0001,Bybit
2023-03-03 00:00:00.000,SOLUSDT,7.154e-05,Bybit
2023-03-03 00:00:00.000,SOLUSDT,2.047e-05,Binance
2023-03-03 08:00:00.000,SOLUSDT,3.21e-06,Bybit
2023-03-03 08:00:00.013,SOLUSDT,2.627e-05,Binance
2023-03-03 16:00:00.000,SOLUSDT,9.745e-05,Binance
2023-03-03 16:00:00.000,SOLUSDT,2.235e-05,Bybit
2023-03-04 00:00:00.000,SOLUSDT,-3.874e-05,Bybit
2023-03-04 00:00:00.001,SOLUSDT,6.271e-05,Binance
2023-03-04 08:00:00.000,SOLUSDT,9.023e-05,Bybit
2023-03-04 08:00:00.008,SOLUSDT,4.321e-05,Binance
2023-03-04 16:00:00.000,SOLUSDT,7.166e-05,Bybit
2023-03-04 16:00:00.012,SOLUSDT,0.0001,Binance
2023-03-05 00:00:00.000,SOLUSDT,0.0001,Binance
2023-03-05 00:00:00.000,SOLUSDT,0.0001,Bybit
2023-03-05 08:00:00.000,SOLUSDT,0.0001,Binance
2023-03-05 08:00:00.000,SOLUSDT,0.0001,Bybit
2023-03-05 16:00:00.000,SOLUSDT,0.0001,Bybit
2023-03-05 16:00:00.015,SOLUSDT,0.0001,Binance
2023-03-06 00:00:00.000,SOLUSDT,0.0001,Bybit
2023-03-06 00:00:00.007,SOLUSDT,0.0001,Binance
2023-03-06 08:00:00.000,SOLUSDT,0.0001,Bybit
2023-03-06 08:00:00.017,SOLUSDT,3.586e-05,Binance
2023-03-06 16:00:00.000,SOLUSDT,0.0001,Bybit
2023-03-06 16:00:00.000,SOLUSDT,-2.168e-05,Binance
2023-03-07 00:00:00.000,SOLUSDT,-1.19e-05,Bybit
2023-03-07 00:00:00.009,SOLUSDT,-9.6e-05,Binance
2023-03-07 08:00:00.000,SOLUSDT,4.277e-05,Bybit
2023-03-07 08:00:00.016,SOLUSDT,-7.843e-05,Binance
